timestamp,station_id,station_name,lat,lon,pm25,aqi,temp_2m,rel_humidity_2m,wind_speed_10m,wind_direction_10m,u_wind,v_wind,cams_pm25_bg,cams_no2_bg,status
2026-08-21T02:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,20.0,33,22.6,92,10.9,261,2.991,0.474,3.6,5.0,hidden_for_validation
2026-08-21T03:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.6,32,22.2,93,9.8,257,2.652,0.612,2.4,4.4,hidden_for_validation
2026-08-21T04:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.5,29,22.2,94,8.6,262,2.366,0.332,2.2,4.7,hidden_for_validation
2026-08-21T05:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,11.8,19,22.2,93,11.7,266,3.242,0.227,3.1,4.5,hidden_for_validation
2026-08-21T06:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,13.7,22,22.1,93,10.4,269,2.888,0.05,3.2,4.4,hidden_for_validation
2026-08-21T07:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.4,30,22.5,93,13.2,273,3.662,-0.192,3.5,4.3,hidden_for_validation
2026-08-21T08:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,22.9,38,23.9,83,16.0,269,4.444,0.078,4.8,4.0,hidden_for_validation
2026-08-21T09:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,23.2,38,25.3,76,15.8,269,4.388,0.077,7.0,3.4,hidden_for_validation
2026-08-21T10:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,26.3,43,26.5,70,18.2,268,5.053,0.176,9.4,2.5,hidden_for_validation
2026-08-21T11:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,32.8,54,27.1,68,17.5,266,4.849,0.339,11.5,1.9,hidden_for_validation
2026-08-21T12:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,26.1,43,28.0,63,16.6,264,4.586,0.482,12.2,1.6,hidden_for_validation
2026-08-21T13:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.0,31,27.5,65,20.0,274,5.542,-0.388,12.2,1.5,hidden_for_validation
2026-08-21T14:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,15.7,26,27.0,68,20.6,274,5.708,-0.399,11.0,1.6,hidden_for_validation
2026-08-21T15:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,21.4,35,26.7,70,21.5,266,5.958,0.417,9.6,1.9,hidden_for_validation
2026-08-21T16:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,22.5,37,25.8,75,20.6,266,5.708,0.399,8.4,2.4,hidden_for_validation
2026-08-21T17:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.3,27,25.5,75,19.0,261,5.213,0.826,12.4,3.1,hidden_for_validation
2026-08-21T18:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.5,29,23.9,84,14.9,263,4.108,0.504,12.0,5.4,hidden_for_validation
2026-08-21T19:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,20.7,34,23.1,88,11.9,260,3.255,0.574,10.9,8.5,hidden_for_validation
2026-08-21T20:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.1,28,22.8,90,11.2,255,3.005,0.805,10.5,10.7,hidden_for_validation
2026-08-21T21:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.5,30,22.9,90,11.6,258,3.152,0.67,9.6,11.3,hidden_for_validation
2026-08-21T22:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.0,31,22.7,91,11.6,257,3.14,0.725,8.4,11.0,hidden_for_validation
2026-08-21T23:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.3,28,22.3,92,11.3,256,3.046,0.759,7.4,10.3,hidden_for_validation
2026-08-22T00:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.1,31,22.1,93,10.9,263,3.005,0.369,6.3,9.1,hidden_for_validation
2026-08-22T01:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,15.5,25,21.9,93,10.9,262,2.998,0.421,5.9,7.6,hidden_for_validation
2026-08-22T02:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,11.7,19,21.9,93,11.0,260,3.009,0.531,5.4,6.2,hidden_for_validation
2026-08-22T03:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,12.1,20,22.0,92,10.7,257,2.896,0.669,4.4,5.2,hidden_for_validation
2026-08-22T04:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,10.7,17,22.2,91,10.5,257,2.842,0.656,2.8,4.3,hidden_for_validation
2026-08-22T05:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,10.4,17,22.8,91,11.5,260,3.146,0.555,2.8,4.7,hidden_for_validation
2026-08-22T06:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,15.0,25,22.6,91,11.0,269,3.055,0.053,2.5,4.6,hidden_for_validation
2026-08-22T07:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,15.2,25,23.0,89,11.9,260,3.255,0.574,3.3,4.4,hidden_for_validation
2026-08-22T08:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.4,30,23.8,85,14.9,261,4.088,0.647,4.0,4.0,hidden_for_validation
2026-08-22T09:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.3,30,24.9,78,16.6,265,4.594,0.402,4.2,3.3,hidden_for_validation
2026-08-22T10:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,21.1,35,25.6,77,18.2,269,5.055,0.088,5.4,2.5,hidden_for_validation
2026-08-22T11:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,22.0,36,25.4,83,17.8,264,4.917,0.517,6.9,2.0,hidden_for_validation
2026-08-22T12:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,26.7,44,27.3,66,21.6,271,5.999,-0.105,7.2,1.9,hidden_for_validation
2026-08-22T13:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,23.3,38,26.1,72,19.5,280,5.334,-0.941,7.2,2.2,hidden_for_validation
2026-08-22T14:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,15.7,26,25.5,75,21.2,288,5.601,-1.82,7.4,2.7,hidden_for_validation
2026-08-22T15:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,12.6,21,26.0,73,19.8,277,5.459,-0.67,7.7,3.6,hidden_for_validation
2026-08-22T16:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,12.4,20,24.9,79,20.1,276,5.553,-0.584,7.4,4.8,hidden_for_validation
2026-08-22T17:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,13.5,22,24.6,81,18.5,281,5.045,-0.981,10.0,5.7,hidden_for_validation
2026-08-22T18:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,9.7,16,23.9,86,14.6,268,4.053,0.142,10.4,8.0,hidden_for_validation
2026-08-22T19:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,7.8,13,23.4,89,12.3,258,3.342,0.71,11.1,11.1,hidden_for_validation
2026-08-22T20:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.6,27,23.1,89,12.9,257,3.492,0.806,11.3,13.3,hidden_for_validation
2026-08-22T21:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.2,32,22.9,91,11.4,254,3.044,0.873,10.5,14.0,hidden_for_validation
2026-08-22T22:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.2,32,22.8,92,11.4,247,2.915,1.237,9.4,13.9,hidden_for_validation
2026-08-22T23:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,21.1,35,23.4,90,10.9,257,2.95,0.681,7.8,13.0,hidden_for_validation
2026-08-23T00:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.2,27,22.8,96,10.5,246,2.665,1.186,5.5,10.8,hidden_for_validation
2026-08-23T01:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.0,28,22.5,96,10.0,256,2.695,0.672,4.1,7.9,hidden_for_validation
2026-08-23T02:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,17.8,29,22.3,96,8.9,261,2.442,0.387,3.1,5.6,hidden_for_validation
2026-08-23T04:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.7,31,21.9,96,9.4,266,2.605,0.182,2.5,4.4,hidden_for_validation
2026-08-23T05:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.9,28,22.6,93,10.1,264,2.79,0.293,2.5,5.1,hidden_for_validation
2026-08-23T06:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.9,28,22.6,92,10.1,265,2.795,0.245,2.6,4.7,hidden_for_validation
2026-08-23T07:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,16.6,27,23.2,89,11.3,261,3.1,0.491,3.0,4.1,hidden_for_validation
2026-08-23T08:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,19.4,32,24.4,82,15.0,264,4.144,0.436,4.0,3.5,hidden_for_validation
2026-08-23T09:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,18.0,30,25.6,76,16.6,264,4.586,0.482,5.1,2.7,hidden_for_validation
2026-08-23T10:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,24.4,40,26.6,72,17.2,265,4.76,0.416,7.6,1.8,hidden_for_validation
2026-08-23T11:00,PUN_3409331,"Bhosari, Pune - IITM",18.6401,73.849,30.3,50,26.8,71,19.0,266,5.265,0.368,9.9,1.2,hidden_for_validation
